i,j,x
1,1,10
2,1,18
3,1,125
4,1,10
5,1,14
6,1,27
7,1,3
8,1,17
9,1,17
1,2,29
2,2,41
3,2,17
4,2,20
5,2,31
6,2,30
7,2,7
8,2,17
1,3,30
2,3,10
3,3,40
4,3,45
5,3,183
6,3,12
7,3,173
8,3,23
9,3,57
10,3,51
1,4,6
2,4,5
3,4,10
4,4,8
5,4,24
6,4,13
7,4,165
8,4,15
9,4,6
10,4,10
1,5,1
2,5,0
3,5,3
4,5,0
5,5,0
6,5,5
7,5,0
8,5,5
9,5,0
10,5,6
11,5,107
12,5,0
13,5,0
14,5,0
15,5,1
16,5,0
17,5,0
18,5,64
19,5,0
20,5,35
1,6,1
2,6,0
3,6,0
4,6,7
5,6,0
6,6,303
7,6,0
8,6,0
9,6,3
10,6,48
11,6,1
12,6,4
1,7,0
2,7,0
3,7,0
4,7,0
5,7,8
6,7,1
7,7,0
8,7,1
9,7,0
10,7,15
11,7,0
12,7,0
13,7,19
14,7,0
15,7,0
16,7,17
17,7,11
18,7,0
19,7,0
1,8,38
2,8,28
3,8,35
4,8,107
5,8,13
