"","PAUVGD_AML_MEP","PAUYHR_AML_MEP","PAVCPM_AML_MEP","PAVKKI_AML_MEP","PAVMED_AML_MEP","PAVRUZ_AML_MEP","PAWDTX_AML_MEP","PAWEBG_AML_MEP","PAWGVW_AML_MEP","PAWKYG_AML_MEP","PAWUTL_AML_MEP","PAXACP_AML_MEP","PAXCLE_AML_MEP","PAXGPE_AML_MEP","PAXHTS_AML_MEP","PAUMTZ_AML_GMP","PAUNYL_AML_GMP","PAUPPD_AML_GMP","PAUTJD_AML_GMP","PAUUHV_AML_GMP","PAUUKK_AML_GMP","PAUVAT_AML_GMP","PAUVXT_AML_GMP","PAUWYR_AML_GMP","PAUZAM_AML_GMP","PAUZMH_AML_GMP","PAVAGA_AML_GMP","PAVALK_AML_GMP","PAVANE_AML_GMP","PAVBVA_AML_GMP","PAVDFC_AML_GMP","PAVDVV_AML_GMP","PAVIDK_AML_GMP","PAVKEX_AML_GMP","PAVLGZ_AML_GMP","PAVLEG_AML_GMP","PAVLWY_AML_GMP","PAVMNA_AML_GMP","PAVMPA_AML_GMP","PAVNZB_AML_GMP","PAVPXS_AML_GMP","PAVRJP_AML_GMP","PAVSJN_AML_GMP","PAVSYK_AML_GMP","PAVTLN_AML_GMP","PAVTWM_AML_GMP","PAVUBN_AML_GMP","PAVULK_AML_GMP","PAVUZN_AML_GMP","PAVVAB_AML_GMP","PAVWEA_AML_GMP","PAVWJY_AML_GMP","PAVXZL_AML_GMP","PAVYYR_AML_GMP","PAVZYI_AML_GMP","PAVZZC_AML_GMP","PAWACC_AML_GMP","PAWCII_AML_GMP","PAWEKW_AML_GMP","PAWEVC_AML_GMP","PAWEYY_AML_GMP","PAWFBA_AML_GMP","PAWFFJ_AML_GMP","PAWGRP_AML_GMP","PAWHFW_AML_GMP","PAWHKK_AML_GMP","PAWHPL_AML_GMP","PAWIXW_AML_GMP","PAWJGZ_AML_GMP","PAWKIW_AML_GMP","PAWLHJ_AML_GMP","PAWMAV_AML_GMP","PAWMII_AML_GMP","PAWMRJ_AML_GMP","PAWNZJ_AML_GMP","PAWPCN_AML_GMP","PAWPDC_AML_GMP","PAWPGW_AML_GMP","PAWPVR_AML_GMP","PAWRSU_AML_GMP","PAWTKY_AML_GMP","PAWTNN_AML_GMP","PAWTPD_AML_GMP","PAWTWW_AML_GMP","PAWUCG_AML_GMP","PAWUWJ_AML_GMP","PAWVGN_AML_GMP","PAWWLI_AML_GMP","PAWWWU_AML_GMP","PAWYEK_AML_GMP","PAWZAX_AML_GMP","PAWZUF_AML_GMP","PAXAAA_AML_GMP","PAXANS_AML_GMP","PAXBLW_AML_GMP","PAXBLX_AML_GMP","PAXBXI_AML_GMP","PAXCPM_AML_GMP","PAXCWR_AML_GMP","PAXCYN_AML_GMP","PAXDBF_AML_GMP","PAXEES_AML_GMP","PAXETC_AML_GMP","PAXGGM_AML_GMP","PAXGTM_AML_GMP","PAXGZB_AML_GMP","PAXHYG_AML_GMP","PAXICE_AML_GMP","PAUNTD_AML_LMPP","PAUZJJ_AML_LMPP","PAVAWS_AML_LMPP","PAVCRM_AML_LMPP","PAVPCA_AML_LMPP","PAVXNZ_AML_LMPP","PAVXSH_AML_LMPP","PAWDWA_AML_LMPP","PAWGKS_AML_LMPP","PAWMLN_AML_LMPP","PAWRUX_AML_LMPP","PAXBAZ_AML_LMPP","ID2748_Control_LMPP","ID2748_Control_GMP","ID2748_Control_MEP","ID2710_Control_LMPP","ID2710_Control_GMP","ID2710_Control_MEP","ID2712_Control_LMPP","ID2712_Control_GMP","ID2712_Control_MEP","ID2753_Control_LMPP","ID2753_Control_GMP","ID2753_Control_MEP","ID2627_Control_LMPP","ID2627_Control_MEP","ID2627_Control_GMP"
"chr1:847816-848609",0.855147664887403,0.80584781399392,0.348730612089434,0.836802946126187,0.823975308185909,0.482976402511323,0.74538678416559,0.879054899773158,0.757329614526502,0.259086557769691,0.813595079575772,0.457297408029052,0.768138404698127,0.776345006152598,0.580988925275239,0.74323434504238,0.343994075980636,0.697227252788875,0.891050403371791,0.706988747834502,0.135157299151671,0.858146203883141,0.448497097925983,0.281690199183096,0.882960633014988,0.601326335076411,0.939931955505559,0.600918975181641,0.762213705128167,0.088652985799481,0.922596909373503,0.731069376660881,0.847368035102356,0.92232923300212,0.376374095422583,0.747955851358212,0.598729408323551,0.911808848187688,0.748940520146013,0.100271891645582,0.336503431822508,0.775336835247988,0.544679661353058,0.954102047955918,0.876475915162692,0.293615530418415,0.958482570365188,0.0631813400998596,0.729795027115585,0.698184895500045,0.772111702177818,0.900173365566791,0.921104808746408,0.819042600664311,0.741824280771499,0.711999069531996,0.662085234322002,0.837512324262815,0.729137855923885,0.70621494806512,0.536147943460012,0.86544889023053,0.583131614910322,0.741267861016814,0.7165110399868,0.456031418322804,0.745524954467605,0.565044583666078,0.464919310939636,0.69248987762622,0.743620999025796,0.872243500339147,0.831451740442684,0.632612838401986,0.327207064594522,0.85480870503988,0.729023396402684,0.775477548226474,0.148366333424404,0.811856943233866,0.467495633152656,0.591186718524113,0.594568605678616,0.454756674174146,0.855426981505627,0.907567104433651,0.738184714639921,0.716817913771258,0.778507151544926,0.724019006934509,0.626811161343373,0.727371926362187,0.638575504560184,0.636714191404506,0.701073678627216,0.56697522656589,0.55250091659538,0.342177833990571,0.690457742920375,0.317609644518649,0.76904862356003,0.72464802692907,0.394657741612965,0.712092148837128,0.665529345881041,0.55459838945979,0.79889629350647,0.579633661937557,0.931001659660658,0.790706309805299,0.932547606636643,0.874442857603869,0.782205342928274,0.438864732800361,0.70916469537177,0.539166849386248,0.688367901471588,0.557966126075941,0.874039289304424,0.749502716179193,0.391610507204028,0.406122260967659,0.535398674830747,0.399140478659881,0.43128677078386,0.546815666450324,0.4094267984645,0.379406574294315,0.562798709474477,0.406175839235699,0.371238280248154,0.50312926734939,0.422130473549985,0.516819654273104,0.371888170733695
"chr1:871980-872737",0.894973640237693,0.851300326000269,0.974486941133214,0.853295385375781,0.78354839881135,0.950679668136155,0.91059335085728,0.929193397395783,0.775079702372943,0.947130898356989,0.945394040013067,0.939459465924962,0.950032867871055,0.927184974182926,0.904166737054927,0.866870709780378,0.452928301265251,0.901623319771495,0.109360560232663,0.884990962309403,0.606749744238989,0.919087536599307,0.939581352436206,0.916264761497381,0.430237925888962,0.765135516648162,0.474294710178485,0.92534908099861,0.810802890716968,0.615648487343703,0.964393966967195,0.917112329747474,0.910214537690995,0.904109463157008,0.893173635624178,0.425767607510544,0.747817969040732,0.901145967366768,0.728088286874933,0.92613254811697,0.969423773406492,0.606071433591952,0.742734816358825,0.93189765713388,0.942544747639896,0.876867498382411,0.945086082411902,0.909912850340283,0.824181683204258,0.730954834233023,0.839718072716538,0.411283979674808,0.942871606533185,0.587657902275044,0.902028002586968,0.923321057902802,0.833781939370932,0.909881178913444,0.85938538484099,0.913311430038442,0.946296380277974,0.795158893819155,0.656718829038949,0.687808091187724,0.913053477979294,0.922037592780021,0.935468501495597,0.768720678649233,0.872898208160252,0.714302184880384,0.80626604562464,0.776641076647302,0.764924473667547,0.867511351593202,0.951585636191401,0.938493178616772,0.82092641795938,0.851818030051176,0.956927406146237,0.835433774816191,0.935591981886297,0.931310739833693,0.493341692567552,0.807852148419316,0.851782864880639,0.913084523314184,0.944425855624722,0.655442488438985,0.688112781544666,0.904410476210065,0.827774280117758,0.885085318849102,0.866462194324598,0.934763980100894,0.755752568986175,0.840595972009908,0.889711812539826,0.579205579279399,0.685540564166152,0.685591703686813,0.864019182367763,0.902266939209863,0.819282405516235,0.710603704038726,0.920316312546467,0.901745706711197,0.780023241758748,0.853245709490589,0.722768869831023,0.742687564295634,0.513479799312229,0.502205890608336,0.333498719919562,0.972942205884442,0.637878342401037,0.726568894631147,0.881860054437332,0.324812420130653,0.802438630012138,0.742858612485318,0.925930385972815,0.913550768896595,0.875153301984571,0.923863548601141,0.892201145922606,0.861168205479003,0.931770358703308,0.919551975163414,0.886309957153765,0.919685103527834,0.929548010034552,0.946572240885106,0.911464088975041,0.881357785958449,0.928900945042286
"chr1:1196457-1198269",0.882162388693088,0.758400254661739,0.709750396180336,0.911629958070922,0.732483317707389,0.914319766538888,0.961810536555346,0.932568541221071,0.854511952809813,0.928504396520131,0.953570975585153,0.939056946444046,0.947733559561944,0.863345833253127,0.716024798744071,0.577211095829759,0.857154972787782,0.704810378503445,0.911459167994859,0.0688061353225486,0.758760825412627,0.828832911163551,0.855709378219197,0.839878639082052,0.743411487732073,0.488025080947719,0.791740591265985,0.32272035573988,0.791169976941168,0.5834926007382,0.833342787104147,0.188382923546675,0.709859513239195,0.559760508933195,0.858278139054898,0.586043611262639,0.654298837406234,0.135080420442145,0.639712592138351,0.858398023879709,0.116290734535775,0.813546476801045,0.840566753315302,0.402692438951062,0.896668215607759,0.35360889151047,0.890956964173243,0.25306709241057,0.750557272629538,0.548251793723811,0.838896276412941,0.818917289495118,0.93785479602102,0.696101171113834,0.814065175656979,0.805105047504613,0.816427945816555,0.899418668519087,0.825952930878418,0.897893642842363,0.590101752541382,0.628455426863693,0.673819668946093,0.65628669974548,0.783858998886583,0.135732507809494,0.718694245736969,0.332726630831203,0.899117013246951,0.795275232257762,0.536593887378339,0.478017770865374,0.678604671303938,0.844697791711579,0.667844374665394,0.787128606090897,0.449540365315986,0.871081236438968,0.757701681675565,0.747735100536574,0.758578974598783,0.788484251162488,0.326712951934502,0.919258401537661,0.563483190731653,0.582812029928508,0.757951556379406,0.457092371523111,0.799538274776011,0.375428022090695,0.701101915483108,0.887080107304104,0.875106695766698,0.687800961769526,0.741537933551553,0.707195504110411,0.952582191050727,0.770323530767444,0.680994669758327,0.480230652374224,0.893455832246802,0.648961204539273,0.565138327709357,0.873085183706122,0.87670702510463,0.733348968771379,0.600730456777808,0.783604576147106,0.533216432627958,0.55726138890458,0.475845360406596,0.630429901515484,0.44648978756355,0.653029789933829,0.550244092957622,0.359895992058746,0.716342881379441,0.229492576091415,0.689983955461283,0.640503071081909,0.847847704504266,0.838167417831489,0.676807292868338,0.896960894473485,0.881578065677061,0.681174328756312,0.869592602665195,0.879319325223318,0.602407269807932,0.801045331562073,0.790449864545808,0.664400786361293,0.858133367736119,0.622167615369925,0.832226016938452
"chr1:1259070-1261797",0.0304711432127713,0.170090655397177,0.0883557381376604,0.027467776777869,0.0354377647422388,0.0496142468475925,0.0413687416030159,0.0440051509083019,0.0609435451701594,0.0557811058971139,0.0188715132333908,0.0483416206008445,0.0295575087864152,0.0225139511987563,0.0356025818566704,0.0228245905176388,0.116289004193996,0.0362089871894729,0.719109858766375,0.0365772460250809,0.0228191796043222,0.0335544974584324,0.0427013735932723,0.0655326776248415,0.0377269574935852,0.0284241981361725,0.812442310910055,0.0238507864735836,0.0262186893305869,0.0902477352028299,0.0402766956611865,0.0467064649246268,0.0268056542589068,0.252470775841037,0.0281640211512144,0.0304249007712896,0.0273990003450557,0.0146780727827907,0.0362538421330552,0.0317687615240049,0.0757534443484952,0.0153485503341448,0.0259131853415132,0.0688209646693217,0.168551739997728,0.0736003655709305,0.0102175175914864,0.0406280985260548,0.031195901167208,0.0747348959514533,0.0330478061569329,0.0923289766382221,0.120041151901254,0.0263543498920636,0.169524049495568,0.0786341264748047,0.0342867398051766,0.271124610196261,0.041282623696347,0.0359933682294539,0.0513385414825125,0.0558526420693402,0.0742922512980783,0.0463336036450021,0.0383938561358257,0.0337842836106065,0.0231413049059705,0.0211205246054101,0.0236209943994537,0.0214423920842969,0.0303842205244778,0.0295369078013366,0.0154261171092906,0.0236429030250855,0.0263829159664293,0.0526637766200382,0.021493209033122,0.020157239981411,0.0277953494013142,0.0250203956184551,0.0271704004769381,0.032238315268623,0.0271387788453931,0.024187659154587,0.0269195655484893,0.0328705690577516,0.0248580554252038,0.0234908193863692,0.0288527392013198,0.0236843932826844,0.0285741664331729,0.0366369808185701,0.0239349040648277,0.0292167390077662,0.0268497779811038,0.0285276559108,0.0254168502858304,0.0699778044611293,0.0480300592186765,0.0421248859130483,0.0319331676566463,0.0333822347550513,0.0498615411775505,0.0301895967152226,0.0329826840601002,0.0370048478097303,0.0268686073900181,0.0252711843773494,0.1365463275117,0.0286179718882422,0.0435381882373131,0.0290137509769502,0.0373672859270077,0.0495618221342214,0.0429314118081629,0.0508303317647211,0.20839274653088,0.0195438459389812,0.0407664609792983,0.0309306041420179,0.0469793187914825,0.027779810740255,0.0217815257980323,0.03344225078345,0.0273733449477613,0.0292502862673207,0.0442766296863566,0.0326836163145446,0.0240535271119744,0.0288831977253405,0.0256436317172418,0.0179052501861506,0.0308922886117032,0.0291751729721951,0.0244565378319553
"chr1:1549615-1550886",0.0154127816060066,0.0177596714090722,0.035044815705847,0.0184430443813402,0.0189823114136355,0.0171221932245089,0.0292002221201003,0.049527979005203,0.0332890174460039,0.0133174808952447,0.0226727846779859,0.0199587106042635,0.0202564572462581,0.0170764909111082,0.0186905321167836,0.0148476992508962,0.016132722185996,0.0215756284411813,0.0696649976353559,0.00565527042868843,0.0262035317014483,0.125958672890098,0.0215320792171854,0.0580068847495816,0.0223180461017021,0.021278461026929,0.082508823952425,0.0200132874176418,0.0202432690583858,0.0088921878554866,0.0195791883053728,0.0725066856219736,0.0210744806198312,0.0274854643307066,0.023915630802944,0.0447705480487357,0.0158449615148888,0.0524386314648018,0.0265346201176548,0.0402730349755715,0.030240783147253,0.0248626040342164,0.0176960454690419,0.00478845763607921,0.0395879833079292,0.0362912033531205,0.0370482828159096,0.0268422712241635,0.0184932434026115,0.0237742403753598,0.0222217363267676,0.0200006097183256,0.0385640328461426,0.033683627543943,0.0275429430045324,0.0254009754134934,0.0240557465771688,0.047694241855323,0.02211283613669,0.0288858472375786,0.0468946929554311,0.0369301461650616,0.0267591713087127,0.0239757607285355,0.0233303975382138,0.0201809520688455,0.0126685058466021,0.0115614916571014,0.0178136392714239,0.0146092916147354,0.0241688642551026,0.0263036085673511,0.0137074871718032,0.0187090727556487,0.0161676247941469,0.0371926849401896,0.0168202734867012,0.022387515797059,0.0171270884224882,0.0162087629636632,0.0237830456821554,0.0218579448161583,0.021323937434297,0.0165034636463574,0.031550266236773,0.00594654145833216,0.0224142238231289,0.0241306214400269,0.0199672417066868,0.0197165024362191,0.018963817851502,0.0180285499648947,0.0193351807498933,0.0204212916019392,0.0178568167641905,0.015362904712099,0.0205875451188789,0.0266906556307474,0.0208233608002681,0.0300137515033717,0.0196017372178657,0.0227379041281071,0.0182631685339544,0.0211146718329926,0.0241461822804828,0.0263689388240773,0.020759123158808,0.0209942148454599,0.0140861213327627,0.0196592054425445,0.0620079645482572,0.0314277894852036,0.0310196507606737,0.0583466648901324,0.0286014747170857,0.0352968480816025,0.0381253309787106,0.0166400563717614,0.0236205326960868,0.0170238667210436,0.0505930041542001,0.0392181318344667,0.0235986853841395,0.0515673243727471,0.0527607368147054,0.0272451608306725,0.0548594618742052,0.0411750620534228,0.0338201552666894,0.0439439304802773,0.0421601094036503,0.0230809171066756,0.050424358077836,0.042533449701486,0.0333229680059016
"chr1:2035780-2036643",0.919940109034368,0.960963064535325,0.914087210876408,0.926612912516674,0.926414579328532,0.924043549112481,0.908818195733214,0.0508491473831334,0.920625611828638,0.948857246764169,0.91659238337195,0.894307208672022,0.790345371460253,0.590974661400133,0.859417152759096,0.639553609748027,0.925229179478991,0.867771209459851,0.926729683668615,0.88056942869924,0.918413935808321,0.939681850623996,0.857923474148508,0.770926659614065,0.778784184909065,0.71368945275656,0.790598443506979,0.86595649151156,0.735643698206577,0.614547707010663,0.931874411101382,0.511275359508299,0.723513580382415,0.698809394256665,0.913147460900624,0.87728168694221,0.618771570320444,0.794175701536347,0.805518086827366,0.862342515799569,0.898893627181027,0.812636364797442,0.918773619387219,0.952988468093074,0.922611556805762,0.793500050307329,0.941482283966859,0.74903567867217,0.807829593545334,0.940712380049752,0.891941805731564,0.742792721992531,0.478702778616912,0.91413119815456,0.85728361634066,0.899644953844312,0.728484123004769,0.917820976420258,0.88944288163243,0.767716373643872,0.947240540026282,0.92399514620785,0.455218846099925,0.642478054791464,0.700013613730452,0.921549328818708,0.812453355763916,0.549155167510203,0.903141088338181,0.84075469925681,0.516463547495906,0.213056147905305,0.892104633055616,0.850403655297964,0.289832620136436,0.687879346932585,0.436352093405988,0.83612134424325,0.861076678876248,0.900744637259774,0.34872258779649,0.88976045353197,0.653779507438221,0.918798197894209,0.849800441878625,0.943460115349561,0.792967737760011,0.661680249206334,0.289587368468807,0.899920156940048,0.913808475918191,0.808904558331285,0.761964013758942,0.816977062921964,0.789292480817346,0.764411596852334,0.85822756490831,0.739227063403994,0.81916172377085,0.484162445247604,0.722452834527945,0.829365019188447,0.864403021642349,0.910217652949514,0.915883086801436,0.847236749775153,0.833177263642864,0.626224482951177,0.49626795408628,0.554406370571789,0.16286709343097,0.944094110122714,0.779726862699181,0,0.610323045772743,0.486536101011837,0.451439243078791,0.232098666925444,0.647683394333017,0.852045641098292,0.869218275859559,0.899191239274713,0.851369411621221,0.907311050649057,0.905354275680158,0.841248091870365,0.925018608929451,0.896776943117819,0.793697887571947,0.915041053994097,0.901422070450053,0.869548483271348,0.91148541226977,0.831071134062541,0.865389995835567
"chr1:2827410-2828293",0.948016494902427,0.958368703029986,0.855970835995121,0.965140651872421,0.950481541050696,0.955594054822128,0.952127305984858,0.970052247509319,0.960430171776331,0.965554419948336,0.937113763868828,0.939984131569348,0.959232735202731,0.934471381423017,0.941801095721103,0.933587585630034,0.932195822762571,0.924330974652526,0.977731138389186,0.956130512031953,0.94445714678396,0.953734898321821,0.968507499596248,0.944745404956529,0.977311287449708,0.94140392021789,0.881869344662913,0.942853915621014,0.922202533999145,0.891871581028077,0.947909066209466,0.974935492912094,0.941799101094904,0.944555993122596,0.915669540031927,0.953548212596897,0.95980715732604,0.912592745765086,0.934500840368689,0.977034775693391,0.926528213185714,0.836650790084005,0.958577485244145,0.912301939148869,0.959381380377974,0.925866464713446,0.970268212653108,0.965128180748016,0.921803893750241,0.920333610945966,0.936961081736778,0.850759392411819,0.879665804171145,0.937471882793529,0.893990673007532,0.979566007163767,0.967555382388206,0.924767615676041,0.895012538235113,0.939303661661085,0.957046948388676,0.934435746311701,0.932424287998251,0.931752603199216,0.955647632747297,0.931455700237749,0.95622799503847,0.956376865093732,0.961242151712342,0.931630735375074,0.960018606090511,0.936875441402757,0.955846115123503,0.946324409675665,0.96125424779989,0.962620722285091,0.94451353269952,0.957145689572523,0.959097279321148,0.932888745144996,0.946834353850387,0.956354518416392,0.953320606562619,0.9335810881144,0.955430028442083,0.970837058060785,0.951173792267313,0.934994659633401,0.924229100683523,0.945950029203022,0.939852343340049,0.92788956030985,0.964961786393002,0.957650565645753,0.915073090874654,0.931391258873945,0.943392909270843,0.942496744300881,0.927897423236086,0.906497251884914,0.956083463963193,0.931950856420039,0.95696609423926,0.955786751610287,0.951885301058248,0.952553381421445,0.939037322685651,0.947574537439966,0.950242554864834,0.86541536485685,0.939148003070796,0.919705073378511,0.884738520499402,0.971558260729816,0.874799838452139,0.727163539540046,0.824271920095364,0.738554541479235,0.925599804101727,0.907178892858579,0.928380266749068,0.949776839527665,0.954615514993969,0.947814603246303,0.956224757745536,0.945465311905366,0.943506207180835,0.947127931157038,0.914665263450146,0.948346543558458,0.950869872708763,0.959487900173858,0.938654481260879,0.907701060007398,0.955911377727096
"chr1:3098864-3100956",0.879453440218967,0.877360028540408,0.909900403856653,0.876169560391987,0.723688120637171,0.71513389600441,0.936965128662491,0.795338124200734,0.110786220194501,0.921799077268597,0.517362043890867,0.0591360062642666,0.886674103726653,0.664754625560798,0.325417554859382,0.847043579561742,0.432267486233473,0.797614990814515,0.868884354910119,0.912424113574897,0.696293120304381,0.955475116325526,0.739341893930417,0.859938990450753,0.881944314679428,0.564718662950829,0.930419292081389,0.338851914798264,0.783904955863395,0.494031227220824,0.766990848244507,0.967544983425532,0.445902090401148,0.515307410035189,0.937203711561522,0.928456317222973,0.317935846290886,0.887193772393257,0.608919734538716,0.931336158326898,0.462560026434276,0.949421910303426,0.148754310321265,0.938849259613922,0.906104940568496,0.369457433391372,0.591487672024374,0.326356630823914,0.84941587329168,0.524283087526393,0.754503264981299,0.834196963061712,0.0168800152489682,0.0601454166464746,0.878123497164275,0.901516361297055,0.410589022844195,0.475624145411905,0.424000719947227,0.754212774310772,0.471528282494015,0.949778960864517,0.156085270475642,0.645590891788644,0.778622361053557,0.914300093301766,0.852194094408637,0.854974439466277,0.605778330301851,0.617412336845109,0.760766636006781,0.834992207046284,0.654199671683144,0.789929084304091,0.755162763649244,0.423046910592917,0.529218064883797,0.83046048339555,0.92191575363393,0.730985284463494,0.789611946284864,0.774067535168168,0.310063076080571,0.906028250124323,0.365746244550826,0.499542662988026,0.583182179650831,0.818284615826386,0.641426751466757,0.709403140272567,0.438552426161926,0.812569262522956,0.815120791795723,0.911155146904128,0.40136260672976,0.566827829015111,0.807233419430499,0.465140148042882,0.717645670148677,0.459612462890126,0.887360013553588,0.75155773483527,0.866983028573528,0.846992028334096,0.814989535358366,0.325539300279438,0.675282914246365,0.683948251173977,0.746987454766636,0.28878410712018,0.326809396813931,0.610760511353122,0.0969778463992395,0.616426566761308,0.307010375094666,0.171766633046024,0.366215172437788,0.0553745804080308,0.197095557646021,0.381149478781381,0.169847493724908,0.148120774927832,0.0452464985648975,0.180090304601743,0.224969000177545,0.0616252437504556,0.161589292794199,0.188539665559715,0.0873549890159661,0.18335068396908,0.181899626569069,0.0429265349442781,0.184775617550269,0.0937147450861783,0.136330764806566
"chr1:3806715-3808169",0.40316952816961,0.7697440351865,0.945699275204726,0.650667525591804,0.12197220876669,0.784883824546133,0.431595218630965,0.257511205653714,0.907393700766015,0.255936326971391,0.937122289035817,0.141267979594612,0.418402517193629,0.42151458980711,0.572065309770136,0.201522680276919,0.0514892736719013,0.211907417894281,0.482251038999869,0.0418570277330986,0.569413585423572,0.638498844203523,0.313588675247737,0.0598557990655255,0.0157185611297974,0.410459142563859,0.324899742987441,0.338942994934972,0.195744390210312,0.231317291880879,0.0910544649732842,0.360357257061353,0.504724683618911,0.0715740486717944,0.292958600569837,0.756111852270121,0.303287875488704,0.199948804453647,0.197048785252135,0.213590966328745,0.703099705486514,0.953295810451191,0.172227279571956,0.908730260419106,0.544095469415943,0.239646851456416,0.94147850798803,0.143568756902553,0.224648129024051,0.352977706867377,0.430699901350895,0.658266889864973,0.682316689929089,0.0607752802027478,0.338084423669466,0.0639340416767735,0.12370547101328,0.0745727240282465,0.456364065531146,0.357410980819132,0.307986250987537,0.863110867150053,0.289864270336066,0.214554122361637,0.150757335109666,0.903738286243463,0.718670818139395,0.148501327389825,0.160891109156858,0.173243106564801,0.095579154035369,0.591198321959646,0.352409991870444,0.153334282357716,0.389357228143875,0.308626525504487,0.428337051709576,0.184104638690582,0.157658430185344,0.300557668435832,0.452938067131245,0.188415751299673,0.132903226465545,0.245500473699216,0.263087938821733,0.412060172689937,0.128113567171573,0.0626674981912305,0.495332762692769,0.147546346198879,0.323565174646154,0.162275538323695,0.238351458678888,0.183387609624609,0.618952886446718,0.478521533379727,0.259607032136655,0.558104926999131,0.216259532150668,0.129031298608477,0.341556932288082,0.115298508560611,0.259994353819812,0.156334983161118,0.573488081077236,0.848784103884183,0.409355683492449,0.412066065121382,0.740053168788458,0.37899889170642,0.503346662074626,0.844997631425686,0.334421308427105,0.88689388060915,0.449310502030636,0.479791244618269,0.114348794296851,0.137085174692097,0.523015236030769,0.484556486949481,0.662575410726249,0.685378378575287,0.545443971165464,0.853607682885536,0.81025099162268,0.721338315721273,0.744337180140199,0.724123140692426,0.608930543767606,0.749529069992929,0.700100746433886,0.52167966993308,0.701861080469335,0.533486295549072,0.69155914402767
"chr1:6649009-6649337",0.722082952171347,0.96680910385896,0.8108421707815,0.968356014029617,0.777307228945886,0.940884572593895,0.981025869478491,0.387261228681607,0.963688444217199,0.987688021260756,0.985639702489742,0.959347285146189,0.973349540756058,0.894820351843298,0.969651350247686,0.979355324896156,0.906324122719538,0.805884198199582,0.0520555672040804,0.938102598990561,0.76821391231379,0.966320886847712,0.991608617891334,0.422233983852786,0.889353429595571,0.980600326235471,0.788796988424929,0.961837095142836,0.948272375724216,0.949754266442646,0.953543021574029,0.909990979032845,0.951569049145863,0.463613095248701,0.967219311948367,0.937052408098383,0.981207857763832,0.858617274969589,0.96812371923339,0.980732993123444,0.926559453333655,0.677665785254923,0.984297989134161,0.981403682774783,0.987442421673431,0.943119799077887,0.909919250912112,0.517748071213984,0.931196116421826,0.969700099042634,0.972172325811946,0.897583592723643,0.971177908939581,0.980427083686283,0.96260815003437,0.934777255208369,0.973887847637262,0.891665894590068,0.967145943479458,0.960828222903167,0.961497055481575,0.970277326101091,0.973784944632688,0.968405622671201,0.97662620706634,0.977631254033432,0.973603474936878,0.967302955156833,0.923200218203671,0.97621894820107,0.884932098358786,0.976184492934565,0.976448244573527,0.900555775335665,0.986353540529653,0.538407098295413,0.982208432252657,0.940808192230404,0.984325765631217,0.981147935218567,0.946400959374406,0.967605625121377,0.972782235196745,0.975221145699801,0.985242260375743,0.987498178352508,0.97296315562583,0.956233768747102,0.903197344830768,0.964447727627956,0.977434444268549,0.969867458241289,0.975562073485042,0.95925428991317,0.975737314506686,0.909748914017792,0.980125654071642,0.970265770810459,0.560844932087418,0.914600047112863,0.976515925460369,0.797737331129979,0.973640804463806,0.960046598051399,0.974933247857293,0.972790792231777,0.97681641799333,0.981525471947539,0.892210691510777,0.981957100792914,0.908174467562214,0.961724551705941,0.955168185320841,0,0.971478547030664,0.970314641356889,0.675454098055829,0.976726202747958,0.967686136670579,0.977301827559961,0.982969045440672,0.979930994650631,0.988593771212646,0.974297174605488,0.974363541753731,0.986525536240007,0.978394931448882,0.977056160846529,0.980839681981752,0.978539158337438,0.972438624278085,0.991729039696658,0.975815221906382,0.979147175052179,0.970387115439471
